comment
好用，我个人习惯晚上睡觉前洗完脸以后在皮肤干的部分涂厚一点，早晨好好清洗，基本三到四天就能看到皮肤状态变好，但是不是很适合油皮过夜使用，因为说实话容易憋痘，对干皮友好，但是油皮朋友可以短时间涂，几个小时后洗掉，起基础的护肤功能很不错
用完脸不泛红，收货后很安心
角质层变薄了，过于敏感了，看了好多修护对比，选择入手理肤泉，依旧会继续入手的，至少得修护俩月，皮肤才能恢复一点点，准备一直用这个品牌，加面膜一起用，效果不错的
修复效果挺好，不过敏，没有特殊气味
我过度错误护肤并不防晒，年龄到了有个黄褐斑，做了激光后脸上更不好了，黄褐斑没去掉角质层更破坏了，用这款皮肤都感觉很舒服，那就是真的很舒服，特别好，保湿提亮上妆好甚至我觉得也养肤的，如果我觉得好我感觉就真的好——因为我皮肤很脆弱。推荐放心购买。
朋友推荐的，又回购的，很适合干皮敏感肌
回购过很多次，挺好用的，就是肤感差了点
用得不错，第二次回购了，以后会继续回购 但价格还是有点贵
我以为只是外面的快递盒烂，里面的东西都被拆开了，跟别人打开一样
一直在用，之前在店里买的，这次在网上买了试试
好用好用好用，一直在回购有六七年了
朋友介绍的 说很好
下巴有点起皮修复修复
好用呢 第一次买了小的 这次男朋友给我回购了大的
物流速度很快，赠品非常多，之前用过，期待这次效果
看起来不错，看到网上评价是护肤圈里的万金油，希望对干燥脱皮和祛痘有用！
拿来包装就是破的，好糟心，物流不行
一直用这个牌子
140买的，应该不亏，6.9可以再领一张面膜
包装和海外旗舰店买的不太一样，还没开始用，不知道效果怎么样，应该是正版的吧
离不开的B5 赞
送给对象的 她很喜欢 相信大品牌！这次还送了三片面膜！
一直在用，方便又好用
用了好久的理肤泉 超级信赖的品牌。
好用！冬天用更适合～
很好 推荐
好，好，好，尽在不言中，产品真的很赞复购了
用起来很舒服
收到货了还没用但是物流很快包装好
挺好的，可以用了精华后用手乳化后再用。不是那么好推开。
挺好的，一直用这个
包装不好，还没用
还可以 今天第一天 所以涂的没那么厚 很温和 很好吸收 没有过敏其他不舒服的 坚持用看看 后面再追评
很好用，我是皮肤屏障受损，皮薄的像纸一样，还疼，用了一晚上好太多了
第三次回购
滋润度：好
好用，。回购好多好多次了，脸上的痘痘都快好了
还没开始用，然后它的包装非常的精细，包装的严严实实的，完全就不会有破损的情况。
100毫升的没有40毫升的生产日期近
整体评价：特别特别好 吸收效果：吸收很快 我的肤质：油皮 女籍
买来预防妊娠纹的，也不知道有没有用
朋友推荐，好了还会再来
特意用过来评价的，奔着负责的态度，对敏感肌修复很有效果，尤其痘印破口愈合很快，每天厚涂增加修复。
已经空瓶很多了一直回购，皮肤不稳定我一定会用它厚敷
第三次回购了， 吸收速度：吸收的很快
长妊娠纹用来涂肚皮，虽然感觉没啥用，但是聊胜于无吧
感觉还行很好用的还可以吧可以试着买一下
